STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,1995,,5756.0,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,1996,,5831.9,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,1997,,4914.8,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,1998,,5046.7,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,1999,,5229.7,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2000,,5408.6,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2001,,5517.6,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2002,,5621.4,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2003,,5842.3,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2004,,6027.0,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2005,,7049.4,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2006,,7301.8,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2007,,7598.4,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2008,,8010.3,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2009,,8323.4,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2010,,8664.3,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2011,,8956.1,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2012,,9278.8,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2013,,9428.9,,,,,
dataflow,ESTAT:GOV_10A_MAIN(1.0),"Government revenue, expenditure and main aggregates",A,Annual,MIO_EUR,Million euro,S13,General government,P51C,Consumption of fixed capital,AT,Austria,2014,,9592.7,,,,,
