period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare,GiniGrossInc,GiniNetInc,GiniWealth
1991-01-01,NaN,NaN,NaN,NaN,NaN,NaN,0.03199334868622916,NaN,NaN,-0.09723653915561448,-0.10886951488741736,-0.0797849697440356,-0.07801626448465404,-0.08012197381869318
1991-04-01,0.002255673083165743,0.04284373316345173,-0.012384282449846818,6.286616694438272e-4,0.00562016159640318,0.017719564380516886,0.021919393870623693,0.013074699451897301,NaN,NaN,NaN,NaN,NaN,NaN
1991-07-01,-0.004926277306632332,-0.004492020363371773,-0.0077314914521900095,0.024834073750745606,-0.0025243062904440157,0.0033539329953916315,0.013799227163400651,0.001982206573845494,NaN,NaN,NaN,NaN,NaN,NaN
1991-10-01,0.010103292625005733,0.00803275860719892,0.012783499089169514,0.016954291693423624,0.004656940007085127,-0.004171983562635403,0.01802457752771236,0.021718478460214886,NaN,NaN,NaN,NaN,NaN,NaN
1992-01-01,0.01295513634903831,-0.0018416903828701418,0.009833180732763158,0.041930359331953625,0.028648154150982947,0.014693472665655207,0.018302951449884475,0.004587897790916598,NaN,-0.11421052554702138,-0.08646980358407896,-0.0939528572627667,-0.11653112584988201,-0.06442853927264675
1992-04-01,-0.010331101031035206,0.006166586429096333,-0.012065609752835793,-0.032724267775953976,-0.016009757816988362,-0.005836042371257263,0.01333993624948615,0.005211862500049661,NaN,NaN,NaN,NaN,NaN,NaN
1992-07-01,-0.00831809737624869,0.016487696742615788,-0.001158963839624572,-0.04652755651078492,-0.04121505707670107,0.02529690248317692,0.0011271648682225077,0.015379152297783064,NaN,NaN,NaN,NaN,NaN,NaN
1992-10-01,-0.007059761787488373,0.0017232461829333363,0.0015616002204612341,-0.003950321975965268,-0.03735047004418771,-0.004355584529428,-0.010817209638394942,0.0369427483038147,NaN,NaN,NaN,NaN,NaN,NaN
1993-01-01,-0.01419372183227654,-0.03315359045391593,7.266027822214523e-4,-0.03282210412227441,-0.03316946255189116,-0.004007755440296776,-0.018602544936556775,0.012875698534312788,NaN,-0.13147761035966798,-0.06289527871835632,-0.10735980933694722,-0.13242764875392177,-0.0481261619267101
1993-04-01,-0.019890639984623947,-0.004168794504454575,-0.02317564290692544,-0.036593150907134366,-0.023032922963099594,-0.010670741998034004,-0.03524570321784637,0.005038030688708764,NaN,NaN,NaN,NaN,NaN,NaN
1993-07-01,0.00126174663145282,-0.004009873053675016,0.005899931032326866,-0.03328710149450457,-9.577029832722832e-4,0.003276271577428461,-0.03846990734461819,0.007885537911009413,NaN,NaN,NaN,NaN,NaN,NaN
1993-10-01,-0.0036780455883998146,-0.007811319319174403,0.005895128778439873,-0.014875873372514429,-0.024478422754699174,0.0027587619701686357,-0.0456690894940861,0.006493351640581827,NaN,NaN,NaN,NaN,NaN,NaN
1994-01-01,0.011193602628139598,0.010006215773208416,0.0020639706375404684,0.02509045504539061,0.035727252425874344,-0.009983877399431549,-0.03901626005768222,-0.009013276084626229,0.01496044174012761,-0.14670969293997582,-0.056444238006956415,-0.11607446143939093,-0.13275471335209477,-0.04275056544810768
1994-04-01,5.973769840321493e-4,-0.0025943418947975243,-0.0014748626637886234,-0.04516167589211376,0.016042328295397496,-0.008395461714881734,-0.04039326064315851,0.0010549940487129903,0.013785441740127611,NaN,NaN,NaN,NaN,NaN
1994-07-01,0.001155714019059428,0.0012852530368517197,0.003912132953548952,-0.04127966595981084,-3.6047653207763974e-4,-0.0012402681006059872,-0.03685347275858675,0.005512707139858611,0.01381877674012761,NaN,NaN,NaN,NaN,NaN
1994-10-01,0.005643961499975458,0.008625381434785907,-5.054230395089791e-4,0.04887901135743119,0.013556589455628506,-4.037345721831535e-4,-0.032180300640658466,0.0012179475794335901,0.014127109240127611,NaN,NaN,NaN,NaN,NaN
1995-01-01,-0.017138616284789764,-0.012606111403419228,-0.006475463556760342,-0.09739033259223599,-0.03932364988088303,0.0027398964394328125,-0.03452981848014147,0.016887649766545533,0.01521877424012761,-0.15273380754335686,-0.044754607178674854,-0.12315025038525895,-0.15826545574347928,-0.0348809351766895
1995-04-01,0.006523043848316345,0.010342463412577763,0.007810982723203996,-0.023733884566115176,0.003311834098443563,0.005164425339834936,-0.033171576039463524,0.012622757265081644,0.01570210924012761,NaN,NaN,NaN,NaN,NaN
1995-07-01,0.0034164320870641914,0.010475966658352532,0.0013254990397590701,0.0013447276135452788,0.0026353891258715416,-0.005657660002542783,-0.028584979391490073,-0.010917529543857293,0.014593774240127609,NaN,NaN,NaN,NaN,NaN
1995-10-01,-0.0017507214867065416,4.854588825025548e-4,0.002512660425842061,-0.04782569957853037,-0.009995905255690976,0.005874465822983979,-0.033142613927029885,-0.0016790122831866951,0.014127109240127611,NaN,NaN,NaN,NaN,NaN
1996-01-01,-0.012831875205551202,-0.006416764440645161,-0.0012286607426877042,-0.04366637431474333,-0.04913056457867807,0.0060417624786984455,-0.04407072363088993,-0.013312142786925848,0.01193544174012761,-0.12460022939615722,-0.029616455414511078,-0.09728778174474362,-0.11943201426611538,-0.02526882522935181
1996-04-01,0.017579037591577175,-0.002324239677984296,5.199582366681495e-4,0.0663601440058151,0.08031314990574752,-0.014911465023694035,-0.04182732577740644,-0.01705719089252391,0.01070210924012761,NaN,NaN,NaN,NaN,NaN
1996-07-01,1.8311283949021782e-4,0.006253751563733579,0.0011224361688959347,0.04429577814066862,-0.01397990500264982,0.002998597641260617,-0.04230810494732218,-0.00312477749716635,0.01036044174012761,NaN,NaN,NaN,NaN,NaN
1996-10-01,0.0017033577660805262,-0.0074061088769385545,0.0015112836690043038,-0.02460322894129489,0.014727568085566597,-0.0023227168545131597,-0.04722405132243601,-0.01513786646450079,0.009327109240127612,NaN,NaN,NaN,NaN,NaN
1997-01-01,-7.479688403420285e-4,-2.665726700547648e-4,0.006003040738174125,-0.036230685961228616,-0.015500581538616812,6.385652037950969e-4,-0.05570125094155465,-0.017604331867998833,0.008960441740127612,-0.09564999273365538,-0.01894209681131309,-0.07487325363629282,-0.08454106625652424,-0.017810227116388577
1997-04-01,0.006136217207824512,-0.0012066141712749438,0.0014114995175737773,0.009458753708806297,0.02622697123563163,-0.006773605596942431,-0.04659282196185632,-0.011020715624549668,0.008677109240127608,NaN,NaN,NaN,NaN,NaN
1997-07-01,-0.0033104181113261747,-0.018070222772747124,-7.746609011973805e-5,-0.026034829497970573,0.00489893996563658,-0.005641451725111465,-0.04542369760194376,-0.007486582545409811,0.00866877424012761,NaN,NaN,NaN,NaN,NaN
1997-10-01,5.954796777804857e-4,-0.01587967134999908,0.0034123548805850886,-0.0815208078551543,0.01792975908350399,0.002154637839827914,-0.04843222630100463,-0.0027022030483983186,0.00894377424012761,NaN,NaN,NaN,NaN,NaN
1998-01-01,0.008811971224343051,0.016983051503102465,-0.0011250883436855433,0.1037063186765937,0.017386821706799466,-0.00108008798876483,-0.04840861741376834,-0.009309221148271726,0.008368774240127611,-0.0758722330176127,-0.005757410783096106,-0.05432063087810024,-0.06387088717357692,-0.009178262852327368
1998-04-01,-0.015028323250407172,-0.009078719047253835,-0.013171772504857482,-0.04088455694178853,-0.022379096033883144,-0.0059750452341217645,-0.04938385845720816,0.00162048214087516,0.008002109240127609,NaN,NaN,NaN,NaN,NaN
1998-07-01,0.003414903090325194,-0.004016671388241421,0.007032347388449911,0.008728555414247849,1.6914238359862677e-4,-0.0011181071893721388,-0.043560694232652075,-0.0018580769344720607,0.00770210924012761,NaN,NaN,NaN,NaN,NaN
1998-10-01,-0.004050508109820572,-0.010319556103562676,0.004771786345277395,-0.0578287182923131,-0.01601214373996755,-9.166036903282297e-4,-0.04391272489937226,0.004326346187660127,0.0069187742401276104,NaN,NaN,NaN,NaN,NaN
1999-01-01,0.0176289260901503,0.03204834006634409,0.010127568598950564,0.19252812203897593,0.0029093995335623584,-0.0031471381124658386,-0.04382015310304954,-0.0034734005984202922,0.005582029041714911,-0.07711640114078078,0.0029367841315056653,-0.05706725654620537,-0.06938222996669596,-0.001432080204286701
1999-04-01,0.0018761383368752545,-0.0023645279390671174,0.0034989397556557163,-3.063330925613763e-4,0.001876124352576299,0.010368464187999606,-0.04234091707874743,-0.0019584072979577285,0.004447634047819915,NaN,NaN,NaN,NaN,NaN
1999-07-01,0.006340338656322086,0.010634024592338021,6.634513062315547e-4,-0.016456372701942595,0.02112551704106987,0.004094100178866214,-0.04006927041384234,-0.00860340517259541,0.00460892658861246,NaN,NaN,NaN,NaN,NaN
1999-10-01,0.0016442124068871463,-0.014193472619428115,0.009522664698485816,-0.001759742271044177,-0.0043010162534235325,0.002063700233667945,-0.038003942530310475,-0.006042265077451,0.006437018663204535,NaN,NaN,NaN,NaN,NaN
2000-01-01,0.014804471799962226,0.01886668672030072,0.010457944027465449,-0.003289944568886464,0.02546381639134661,0.005503226427416266,-0.032250141500332674,-0.0076086185424855315,0.00673198020166607,-0.07214898949836379,-0.002618785713096372,-0.057525761827048605,-0.061126564670610506,-7.554444115043246e-4
2000-04-01,0.003959547059888746,-0.01226133940042069,0.008594049451450236,-0.01505884720786869,0.009263318961375186,0.006062684936619292,-0.030060646684878733,-0.00597872056379469,0.008572457869159868,NaN,NaN,NaN,NaN,NaN
2000-07-01,0.0013921669977319025,-0.00521146145378144,0.001853692520140204,0.004968371030926141,0.006080499799584545,0.004628191147263508,-0.030409330964691783,-0.004172260326383645,0.00970748020166607,NaN,NaN,NaN,NaN,NaN
2000-10-01,-0.002047583816274812,0.0013720735265044144,6.494567832120209e-4,0.01945913220366909,-0.015466141725004304,9.167436317925855e-4,-0.03132203882181894,-0.0024771007498931765,0.010430878248064115,NaN,NaN,NaN,NaN,NaN
2001-01-01,0.0036293142389085317,7.736598196293361e-4,0.008578293177827523,-0.015581362523483003,-0.005012927475903132,-8.204281979487787e-5,-0.03377566230476603,1.7942499001264746e-4,0.009722238615127606,-0.06905684108530963,-0.008205392421736124,-0.05454922843310184,-0.04332014882283075,1.910771925264232e-4
2001-04-01,-0.010156521262114882,-0.010045687899784505,-0.0052575455610306635,-0.02503860359299696,-0.02236642673238635,-0.0023449532793603815,-0.03417395364805831,-0.0024460858507438146,0.009331812707869543,NaN,NaN,NaN,NaN,NaN
